County,Postion,Name,Physical Address,Zip Code,Mailing Address,County Email Addresses,Phone ,Fax,Primary Email ,Secondary Email
HILL COUNTY,Elections Administrator,Aaron Torres,"126 S. Covington St., Hillsboro, Texas 76645",76645,"P.O. Box 725, Hillsboro 76645",County Email Address,(254) 582-4072,(254) 582-4073,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
HOCKLEY COUNTY,Elections Administrator,Jody Rose,"624 Ave H, Ste. 103, Levelland 79336",79336,"624 Ave H, Ste. 103, Levelland 79336",County Email Address,(806) 894-1105,(806) 894-1104,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
HOOD COUNTY,Elections Administrator,Stephanie Cooper,"1410 W. Pearl St., Granbury 76048",76048,"1410 W. Pearl St., Granbury 76048",County Email Address,(817) 408-2525,(817) 408-2592,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
HOPKINS COUNTY,Elections Administrator ,Katelynn Kneifl ,"119 College Street, Sulphur 75482",75482,"119 College Street, Sulphur 75482",County Email Address,(903) 438-3037,(903) 438-4110,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
HOUSTON COUNTY,Elections Administrator,Cynthia Lum,"401 E. Goliad Ave. Box 9, Crockett 75835-9991",-9991,"401 E. Goliad Ave. Box 9, Crockett 75835-9991",County Email Address,(936) 544-3255 ext. 243,(936) 544-0189,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
HOWARD COUNTY,Elections Administrator,Jodi Duck,"2006 FM 700, Big Spring 79720",79720,"P.O. Box 1069, Big Spring 79721-1069",County Email Address,(432) 264-2273,(432) 264-2275,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
HUDSPETH COUNTY,District & County Clerk,Brenda Sanchez,"109 Millican St, Sierra Blanca, TX 79851",79851,"P.O. Box 58, Sierra Blanca 79851",County Email Address,(915) 369-2301,(915) 369-0055,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
HUNT COUNTY,Elections Administrator,Jeannie Ash,"2217A Washington, Greenville 75401",75401,"2217A Washington, Greenville 75401",County Email Address,(903) 454-5467,(903) 454-7905,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
HUTCHINSON COUNTY,County Clerk,Kelly Ratliff,"500 Main Street, Suite 211 Stinnett, TX 79083  ",083  ,"P.O. Box 1186, Stinnett 79083",County Email Address,(806) 878-4002,(806) 878-3497,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
IRION COUNTY,District & County Clerk,Shirley Graham,"209 N Park View St,
Mertzon, TX 76941",76941,"P.O. Box 270, Mertzon 76941",County Email Address,(325) 835-2421,(325) 835-7941,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
JACK COUNTY,Elections Administrator,Lynn Casteel,"100 N. Main, Ste 301, Jacksboro 76458",76458,"100 N. Main, Ste 301, Jacksboro 76458",County Email Address,(940) 567-2910,(940) 567-2930,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
JACKSON COUNTY,County Clerk,Katherine M. Respondek,"115 W. Main, Rm. 101, Edna 77957",77957,"115 W. Main, Rm. 101, Edna 77957",County Email Address,(361) 782-3563,(361) 782-3132,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
JASPER COUNTY,County Clerk,Holly Thomas,"121 North Austin
Jasper, Texas 75951",75951,"P.O. Box 2070, Jasper 75951",County Email Address,(409) 384-2632,(409) 384-7198,Submit your Application for Ballot By Mail (ABBM) via email,Submit your Federal Postcard Application (FPCA) via email
JEFF DAVIS COUNTY,District & County Clerk,Jennifer Wright,"111 North Front Street
Fort Davis, TX 79734",79734,"P.O. Box 398, Fort Davis 79734",County Email Address,(432) 426-3251,(432) 426-3760,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
JEFFERSON COUNTY,County Clerk,Roxanne Acosta-Hellberg,"1149 Pearl Street, Beaumont, Texas 77701",77701,"P.O. Box 1151, Beaumont 77704",County Email Address,(409) 835-8480,(409) 839-2394,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
JIM HOGG COUNTY,District & County Clerk,Zonia G. Morales," 102 E. Tilley 
Hebbronville, TX 78361",78361,"P.O. Box 878, Hebbronville 78361",County Email Address,(361) 527-4031,(361) 232-5875,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
JIM WELLS COUNTY,Elections Administrator,Richard Guerra,"200 N. Almond Street, Ste. 104
Alice, Texas 78332 ",8332 ,"P.O. Box 2188, Alice 78333-2188",County Email Address,(361) 668-5711,(361) 664-4276,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
JOHNSON COUNTY,Elections Administrator,Joy Adams,"103 S. Walnut St.
Cleburne, Texas 76033",76033,"P.O. Box 895, Cleburne 76033-0895",County Email Address,(817) 556-6197,(817) 556-6048,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
JONES COUNTY,County Clerk,LeeAnn Jennings,"100 Courthouse Square 1st Floor, Anson, Texas 79501",79501,"P.O. Box 552, Anson 79501",County Email Address,(325) 823-3762,(325) 823-3979,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
KARNES COUNTY,Elections Administrator,Beth Montalvo,"210 W. Calvert, Suite 140, Karnes City 78118",78118,"210 W. Calvert, Suite 140, Karnes City 78118",County Email Address,(830) 780-2246,(830) 780-3059,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
KAUFMAN COUNTY,Elections Administrator,Tandi Smith,"100 N. Washington St, Kaufman 75142",75142,"P.O. Box 1347, Kaufman, TX 75142",County Email Address,(469) 376-4595,(972) 932-1413,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
KENDALL COUNTY,Elections Administrator,Staci L. Decker,"221 Fawn Valley Drive, Suite 100, P.O. Box 2384, Boerne 78006",78006,"221 Fawn Valley Drive, Suite 100, P.O. Box 2384, Boerne 78006",County Email Address,(830) 331-8701,(830) 331-8295,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
KENEDY COUNTY,Elections Administrator,Stephanie Garza,"150 North Turcotte, Sarita, TX 78385",78385,"P.O. Box 243, Sarita 78385",County Email Address,(361) 294-5255,,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
KENT COUNTY,District & County Clerk,Craig Harrison,"101 N Main St, Jayton, TX 79528",79528,"P.O. Box 9, Jayton 79528",County Email Address,(806) 237-3881,(806) 237-2300,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
KERR COUNTY,County Clerk,Nadene Alford,"700 Main St., Suite 122, Kerrville 78028",78028,"700 Main St., Suite 122, Kerrville 78028",County Email Address,(830) 792-2255,(830) 792-2274,Submit your Application for Ballot By Mail (ABBM) via email,Submit your Federal Postcard Application (FPCA) via email
KIMBLE COUNTY,District & County Clerk,Karen E. Page,"Courthouse, 501 Main St., Junction 76849",76849,"Courthouse, 501 Main St., Junction 76849",County Email Address,(325) 446-3353,(325) 446-2986,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
KING COUNTY,District & County Clerk,Jammye D. Timmons,"800 South Baker, Guthrie, TX 79236",79236,"P.O. Box 135, Guthrie 79236",County Email Address,(806) 596-4412,(806) 596-4664,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
KINNEY COUNTY,District & County Clerk,Ricardo D. Alvarado," 501 South Ann Street
Brackettville, Texas 78832",78832,"P.O. Box 9, Brackettville 78832",County Email Address,(830) 563-2521 ext. 3,(830) 563-2644,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
KLEBERG COUNTY,County Clerk,Salvador “Sonny” Barrera III,"700 E. Kleberg Avenue, Kingsville, Texas 78363",78363,"P.O. Box 1327, Kingsville 78364",County Email Address,(361) 595-8548,(361) 593-1355,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
KNOX COUNTY,District & County Clerk,Lisa Cypert,"100 W. Cedar St., Benjamin, Texas 79505",79505,"P.O. Box 196, Benjamin 79505",County Email Address,(940) 459-2441,(940) 459-2005,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
LA SALLE COUNTY,Elections Administrator,Gloria M. Maldonado,"117 N. Front Street, Cotulla, Texas 78014",78014,"P.O. Box 579, Cotulla, TX 78014",County Email Address,(830) 483-5055,(830) 483-5100,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
LAMAR COUNTY,Elections Administrator,Tricia Johnson,"231 Lamar Ave, Paris 75460",75460,"231 Lamar Ave, Paris 75460",County Email Address,(903) 782-1116,(903) 782-1123,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
LAMB COUNTY,County Clerk,Rene Trevino,"100 6th Drive, Room 103, Littlefield 79339",79339,"100 6th Drive, Room 103, Littlefield 79339",County Email Address,(806) 385-4222 ext. 210,(806) 385-6485,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
LAMPASAS COUNTY,Elections Administrator,Mark Bishop,"407 S. Pecan, Suite 102, Lampasas 76550",76550,"407 S. Pecan, Suite 102, Lampasas 76550",County Email Address,(512) 556-8271 ext. 206,(512) 564-1424,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
LAVACA COUNTY,Elections Administrator,Tenia Hudson,"412 N. Texana
Hallettsville, TX 77964",77964,"P.O. Box 727, Hallettsville 77964",County Email Address,(361) 798-3594,(361) 798-4016,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
LEE COUNTY,Elections Administrator,Teresa Shed,"843 E. Industry, Ste. B
Giddings, TX 78942",78942,"P.O. Box 480, Giddings 78942",County Email Address,(979) 540-2731,(979) 540-2732,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
LEON COUNTY,Elections Administrator,Donna Kominczak ,"155 N. Cass St. 2nd Floor,  Centerville, TX 75833",75833,"P.O. Box 1239, Centerville 75833",County Email Address,(903) 536-4469,(903) 536-1773,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
LIBERTY COUNTY,County Clerk,Lee Haidusek Chambers,"1923 Sam Houston St. RM 209, Liberty, TX 77575",77575,"1923 Sam Houston St. RM 209, Liberty, TX 77575",County Email Address,936-336-4670,FAX: 936-334-3236,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
LIMESTONE COUNTY,Elections Administrator,Jennifer Southard,"200 W State St, Room G5 Groesbeck, TX 76642",76642,"200 W State St, Room G5 Groesbeck 76642",County Email Address,(254) 729-4997,(254) 729-4993,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
LIPSCOMB COUNTY,County Clerk,Chrissy Dunn,"P.O. Box 70, Lipscomb 79056",79056,"P.O. Box 70, Lipscomb 79056",County Email Address,(806) 862-2911,(806) 862-3004,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
LIVE OAK COUNTY,County Clerk,Donna Vanway,"George West, TX 78022",78022,"P.O. Box 280, George West 78022",County Email Address,(361) 449-8034,(361) 449-1616,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
LLANO COUNTY,Elections Administrator,Andrea Wilson,"1447A East Hwy 71
Llano, Texas 78643",78643,"P.O. Box 787, Llano 78643",County Email Address,(325) 247-5425,(325) 247-5624,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
LOVING COUNTY,District & County Clerk,Mary Mozelle Carr,"Courthouse, 100 Bell St.
  Mentone, Texas 79754",79754,"P.O. Box 194, Mentone 79754",County Email Address,(432) 309-9500 ext. 6,(432) 377-2701,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
LUBBOCK COUNTY,Elections Administrator,Roxzine Stinson,"1308 Crickets Avenue – Lubbock, TX 79401",79401,"P.O. Box 10536, Lubbock 79408",County Email Address,(806) 775-1338,(806) 775-7980,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
LYNN COUNTY,County Clerk,Karen Strickland,"1501 South 1st Street
Tahoka, Tx 79373",79373,"P.O. Box 937, Tahoka 79373",County Email Address,(806) 561-4750,(806) 561-4988,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
MADISON COUNTY,Elections Administrator,Bobbie Duke,"101 W. Main, Ste. 121, Madisonville 77864",77864,"101 W. Main, Rm. 121, Madisonville 77864",County Email Address,(936) 349-0132,,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
MARION COUNTY,Tax Assessor Collector,Karen G. Jones,"119 W. Lafayette, Jefferson TX 75657",75657,"119 W. Lafayette, Jefferson TX 75657",County Email Address,903-665-3281,903-665-3132,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
MARTIN COUNTY,District & County Clerk,Oralia Ybarra,"301 N. Saint Peter St., Stanton 79782",79782,"P.O. Box 1009, Stanton 79782",County Email Address,(432) 756-3412,(432) 607-2212,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
MASON COUNTY,District & County Clerk,Chelsa Armendariz,"205 Westmoreland St., Mason, TX 76856",76856,"P.O. Box 702, Mason 76856",County Email Address,(325) 347-5253,,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
MATAGORDA COUNTY,County Clerk, Stephanie Cantu Wurtz,"1700 Seventh St. Room 202, Bay City 77414-5094",-5094,"1700 Seventh St. Room 202, Bay City 77414-5094",County Email Address,(979) 244-7680,(979) 244-7688,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
MAVERICK COUNTY,Elections Administrator,Isamari S. Villarreal,"501 Main St., Suite B , Eagle Pass 78852",78852,"501 Main St., Suite B , Eagle Pass 78852",County Email Address,(830) 757-4175,(830) 757-4337,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
MCCULLOCH COUNTY,County Clerk,Christine A. Jones,"101 N. High St., Brady 76825",76825,"101 N. High St., Brady 76825",County Email Address,(325) 597-8000 ext. 2,(325) 597-1731,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
MCLENNAN COUNTY,Elections Administrator,Jared Goldsmith,"214 N 4th Street
Suite 300
Waco, TX 76701",76701,"P.O. Box 2450, Waco 76703",County Email Address,(254) 757-5043,(254) 757-5041,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
MCMULLEN COUNTY,District & County Clerk,Mattie Sadovsky,"501 River St., Tilden, TX 78072",78072,"P.O. Box 235, Tilden 78072",County Email Address,(361) 274-3215,(361) 274-3858,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
MEDINA COUNTY,Elections Administrator,Lupe Torres,"1300 Ave. M #108 Hondo, TX 78861",78861,"1300 Ave. M #108 Hondo, TX 78861",County Email Address,(830) 741-6104,(830) 741-6007,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
MENARD COUNTY,Tax Assessor-Collector,Timothy Royce Powell,"206 E San Saba Ave
Menard, TX 76859",76859,"P.O. Box 215, Menard 76859",County Email Address,(325) 396-4523,(325) 396-2047,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
MIDLAND COUNTY,Elections Administrator,Rosa Olgin,"2110 N A Street
Suite 103
Midland, TX 79705",79705,"P.O. Box 3434, Midland 79702",County Email Address,(432) 688-4890,(432) 688-4912,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
MILAM COUNTY,County Clerk,Jodi Morgan,"806 N. Crockett Ave., Suite A, Cameron TX 76520",76520,"806 N. Crockett Ave., Suite A, Cameron TX 76520",County Email Address,(254) 697-7049,,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
MILLS COUNTY,District & County Clerk,Sonya Scott,"1011 4th Street
Goldthwaite, TX 76844",76844,"P.O. Box 646, Goldthwaite 76844",County Email Address,(325) 648-2711,(325) 648-3251,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
MITCHELL COUNTY,County Clerk,Carla Kern,"349 Oak St., Rm. 103, Colorado City 79512",79512,"349 Oak St., Rm. 103, Colorado City 79512",County Email Address,(325) 728-3481,(325) 728-5322,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
MONTAGUE COUNTY,Elections Administrator,Ginger Wall,"11339 State Highway 59 N, Montague, Texas 76251",76251,"P.O. Box 158 Montague, Texas 76255",County Email Address,(940) 894-2540,(940) 894-2543,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
MONTGOMERY COUNTY,Elections Administrator,Suzie Harvey,"9159 Airport Road, Conroe, Texas 77303",77303,"P.O. Box 2646, Conroe 77305-2646",County Email Address,(936) 539-7843,(936) 538-8143,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
MOORE COUNTY,County Clerk,Brenda McKanna,"715 S. Dumas Ave., Rm. 107, Dumas 79029",79029,"715 S. Dumas Ave., Rm. 107, Dumas 79029",County Email Address,(806) 935-6164,(806) 935-9004,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
MORRIS COUNTY,County Clerk,Brittany Andrews ,"500 Broadnax St., Ste. D., Daingerfield 75638",75638,"500 Broadnax St., Ste. D., Daingerfield 75638",County Email Address,(903) 645-3911,(903) 645-4026,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
MOTLEY COUNTY,District & County Clerk, D’anna Russell,"701 Main St & Dundee St, Matador, TX 79244",79244,"P.O. Box 660, Matador 79244",County Email Address,(806) 347-2621,(806) 347-2220,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
NACOGDOCHES COUNTY,Elections Administrator,Vicki Wood,"203 W. Main St., Ste. 113, Nacogdoches, Texas 75961",75961,"203 W. Main St., Ste. 113, Nacogdoches, Texas 75961",County Email Address,(936) 560-7825,(936) 560-7838,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
NAVARRO COUNTY,Elections Administrator,Allie Thomas,"601 N. 13th Street, Suite 3
Corsicana, Texas 75110",75110,"P.O. Box 1018, Corsicana 75151",County Email Address,(903) 875-3330,(903) 875-3331,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
NEWTON COUNTY,County Clerk,Sandra Kay Duckworth,"115 Court Street
Newton, TX 75966",75966,"P.O. Box 484, Newton 75966",County Email Address,(409) 379-5341,(409) 379-9049,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
NOLAN COUNTY,County Clerk,Sharla Keith,"100 E. 3rd, Suite 108, Sweetwater 79556",79556,"100 E. 3rd, Suite 106, Sweetwater 79556",County Email Address,(325) 235-2462,(325) 235-4635 / (325) 235-1271,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
NUECES COUNTY,County Clerk,Kara Sands,"901 Leopard St.
Corpus Christi, TX 78401
Floor: 2nd Room: 201",: 201,"P.O. Box 2627, Corpus Christi 78403",County Email Address,(361) 888-0580,(361) 888-0329,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
OCHILTREE COUNTY,County Clerk,Sandra Limas,"511 S. Main Ste 8, Perryton, TX 79070",79070,"511 S. Main Ste 8, Perryton, TX 79070",County Email Address,(806) 435-8039,(806) 435-2081,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
OLDHAM COUNTY,District & County Clerk,Darla Lookingbill,"105 S Main
Vega, TX 79092",79092,"P.O. Box 360, Vega 79092",County Email Address,(806) 639-2119,(806) 639-2203,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
ORANGE COUNTY,Elections Administrator,Donna Alford,"206 Border St, Orange, TX 77630",77630,"206 Border St, Orange, TX 77630",County Email Address,(409) 882-7973,(409) 670-4176,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
PALO PINTO COUNTY,Elections Administrator,Laura Watkins,"100 S.E. 6th Ave., STE. 205, Mineral Wells 76067",76067,"100 S.E. 6th Ave., STE. 205, Mineral Wells 76067",County Email Address,(940) 659-1217,888-965-1548,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
PANOLA COUNTY,Elections Administrator,Loretta Mason,"110 S. Sycamore St., Room 100 Carthage, TX 75633   ",33   ,"110 S. Sycamore St., Room 100 Carthage, TX 75633   ",County Email Address,(903) 693-0370,(903) 693-7283,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
PARKER COUNTY,Elections Administrator,Crickett Miller,"801 Santa Fe Drive, Weatherford 76086",76086,"PO Box 639, Weatherford 76086",County Email Address,(817) 598-6185,(817) 598-6183,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
PARMER COUNTY,Elections Administrator ,Jessica White,"401 3rd Street
Farwell, TX 79325",79325,"P.O Box 545, Farewell 79325",County Email Address,(806) 481-9151,(806) 481-9548,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
PECOS COUNTY,Elections Administrator,Sophia Franco,"200 S. Nelson, Fort Stockton 79735",79735,"200 S. Nelson, Fort Stockton 79735",County Email Address,(432) 434-1554,,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
POLK COUNTY,County Clerk,Schelana Hock,"101 W Mill St, Ste. 265, Livingston, TX 77351",77351,"101 W Mill St, Ste. 265, Livingston, TX 77351",County Email Address,(936) 327-6805,(936) 327-6855,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
POTTER COUNTY,Elections Administrator,Christy Benge,"900 South Polk Street, Suite 320
Amarillo, TX 79101",79101,"P.O. Box 9618, Amarillo 79105",County Email Address,(806) 379-2299,(806) 379-2249,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
PRESIDIO COUNTY,District & County Clerk,Carolina Catano,"300 Highland St.
Marfa, TX 79843",79843,"P.O. Box 789, Marfa 79843",County Email Address,(432) 729-4812,(432) 729-4313,Submit your Application for Ballot by Mail or Federal Postcard Application via email,
RAINS COUNTY,Elections Administrator,Lisa Kneifl,"220 W. Quitman St., Ste. E, Emory 75440",75440,"220 W. Quitman St., Ste. E, Emory 75440",County Email Address,(903) 473-5009,(903) 473-5086,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
RANDALL COUNTY,Elections Administrator,Shannon Lackey,"1604 5th Avenue, Canyon, TX 79015",79015,"P.O. Box 1654, Canyon 79015",County Email Address,(806) 468-5510,(806) 656-2151,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
REAGAN COUNTY,District & County Clerk,Tammy Hodge,"300 North Plaza Avenue, Big Lake, TX 76932",76932,"P.O. Box 100, Big Lake 76932",County Email Address,(325) 884-2442,(325) 884-1503,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
REAL COUNTY,District & County Clerk,D' Ann Green,"146 Highway 83 South, Leakye, TX 78873",78873,"P.O. Box 750, Leakey 78873",County Email Address,(830) 232-5202,(830) 232-6888,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
RED RIVER COUNTY,County Clerk,Chassidy Chandler,"200 N. Walnut, Clarksville 75426",75426,"200 N. Walnut, Clarksville 75426",County Email Address,(903) 427-2401,,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
REEVES COUNTY,Elections Administrator,Kellie Nagy,"100 E. 4th Street, Room 102, Pecos, TX 79772",79772,"PO Box 1089, Pecos 79772",County Email Address,(432) 287-0222 Option #4,FAX:(432) 400-1424 ,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
REFUGIO COUNTY,Elections Administrator,Catherine Fuller,"414 C North Alamo Street, Refugio, TX 78377",78377,"P.O. Box 452, Refugio 78377",County Email Address,(361) 526-2151,(361) 526-2102,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
ROBERTS COUNTY,District & County Clerk,Toni Rankin,"300 East Commercial Street, Miami, TX 79059",79059,"P.O. Box 477, Miami 79059",County Email Address,(806) 868-2341,(806) 868-3381,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
ROBERTSON COUNTY,Elections Administrator,Rebekah Callaway,"601 North Hearne Street, Franklin, TX 77856",77856,"P.O. Box 819, Franklin 77856",County Email Address,(979) 828-5726,(979) 828-4584,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
ROCKWALL COUNTY,Elections Administrator,Christopher Lynch,"1101 E. Yellow Jacket ln, suite 150",e 150,"1101 E. Yellow Jacket ln, suite 150",County Email Address,(972) 204-6200,(972) 204-6209,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
RUNNELS COUNTY,Elections Administrator,Kelley Berry,"600 Strong Avenue Ballinger, TX 76821",76821,"600 Strong Avenue Ballinger, TX 76821",County Email Address,(325) 365-5027,(325) 365-5047,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
RUSK COUNTY,Elections Administrator,Shannon Brown,"204 North Main Street, Henderson, TX 75652",75652,"P.O. Box 668, Henderson 75653",County Email Address,(903) 657-0321,(903) 657-0319,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
SABINE COUNTY,County Clerk,Jamie Clark,"280 Main Street, Ste 100 Hemphill,TX 75948",75948,,County Email Address,(409) 787-3786,(409) 220-8353  ,Submit your Application for Ballot By Mail,Submit your Federal Postcard Application via email
SAN AUGUSTINE COUNTY,Elections Administrator,Deborah Woods,"225 North Harrison, San Augustine,TX 75972",75972,"P.O. Box 873, San Augustine 75972",County Email Address,(936) 275-0989,(936) 275-0129,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
SAN JACINTO COUNTY,Elections Administrator,Cheri Walker,"51 E. Pine Ave, Room A1, Coldspring 77331",77331,"51 E. Pine Ave, Room A1, Coldspring 77331",County Email Address,(936) 653-5804,(936) 653-5808,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
SAN PATRICIO COUNTY,Elections Administrator,Victoria Pereida,"410 W. Market St, Sinton 78387",78387,"P.O. Box 579 Sinton, TX 78387",County Email Address,(361) 364-6121,(361) 364-6132,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
SAN SABA COUNTY,District & County Clerk,Christi Whitley,"500 E. Wallace, Ste. 202, San Saba 76877",76877,"500 E. Wallace, Ste. 202, San Saba 76877",County Email Address,(325) 372-3614,(325) 372-6484,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
SCHLEICHER COUNTY,District & County Clerk,Marsha Maskill,"2 South Divide Street, Eldorado, TX 76936",76936,"P.O. Drawer 580, Eldorado 76936",County Email Address,(325) 853-2833,(325) 853-2768,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
SCURRY COUNTY,Elections Administrator ,Lori Botts ,"1806 25th St., Ste. 300, Snyder 79549",79549,"1806 25th St., Ste. 300, Snyder 79549",County Email Address,(325) 573-5332,,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
SHACKELFORD COUNTY,District & County Clerk,Cheri Hawkins,"225 South Main Street, Albany, TX 76430",76430,"P.O. Box 2109, Albany 76430",County Email Address,(325) 762-9415,(325) 762-9416,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
SHELBY COUNTY,Elections Administrator,Nancy Adams,"200 San Augustine St., Box 9, Center, Texas  75935",75935,"200 San Augustine St., Box 9, Center, Texas  75935",County Email Address,(936) 598-5340,FAX: (936) 598-8942,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
SHERMAN COUNTY,District & County Clerk,Laura Rogers,"701 North 3rd Street, Stratford, TX 79084",79084,"P.O. Box 270, Stratford 79084",County Email Address,(806) 366-2371,(806) 366-5670,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
SMITH COUNTY,Elections Administrator,Michelle Allcon,"302 E Ferguson St, Tyler 75702",75702,"302 E Ferguson St, Tyler 75702",County Email Address,(903) 590-4777,(903) 590-4778,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
SOMERVELL COUNTY,Elections Administrator,Christy Presley,"107 North East Vernon Street, Glen Rose, TX 76043",76043,"P.O. Box 1355, Glen Rose 76043",County Email Address,(254) 897-9470,(254) 897-7703,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
STARR COUNTY,Elections Administrator,Armandina Martinez,"100 N. FM 3167, Ste. 218, Rio Grande City 78582",78582,"100 N. FM 3167, Ste. 218, Rio Grande City 78582",County Email Address,(956) 716-4800,(956) 716-8222,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
STEPHENS COUNTY,County Clerk,Jackie Ensey,"200 West Walker, Courthouse, Breckenridge 76424",76424,"200 West Walker, Courthouse, Breckenridge 76424",County Email Address,(254) 559-3700,(254) 559-5892,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
STERLING COUNTY,District & County Clerk,Jerri McCutchen,"4th Street, Sterling City, TX 76951",76951,"P.O. Box 55, Sterling City 76951",County Email Address,(325) 378-5191,(325) 378-3111,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
